id,slug,case_title,case_number,case_topics,case_author,news_org,faculty_notes,related_cases,redtext,teaser,description,price,pdf,abstract,teaching_note,epilogue,banner,abstract_img,thumb,link_color,title_color,authentication,faculty_only,layout,linked_cases,category_id,status_id,createdOn,school
33,Terror or Accident?,Terror or Accident? <i>Newsday</i> and the Crash of American Airlines Flight 587,CSJ-09-0013.0,digital media; crisis reporting,Julia Ioffe,Newsday,,"29, 24",Video,"This text+video case asks students to engage in a difficult calculus: how to report on deadline about a disaster when the causes are unclear. The website editor has to make the call: accident or terrorism? The case also raises managerial and competitive issues. _x000d_
Use in course/class on Digital Media or Crisis  Reporting._x000d_
","<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/344/abstract background small.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-09-0013.0</i><br />_x000d_
	This text+video case asks students to engage in a difficult calculus: report on deadline about a disaster when the causes are unclear. On November 12, 2001, two months and a day after the terrorist attacks of September 11, American Airlines Flight 587 leaving Kennedy Airport went down in Far Rockaway, Queens, New York.</p>_x000d_
<p>_x000d_
	<strong>This is a video case.</strong></p>_x000d_
<p>_x000d_
	Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>digital media; crisis reporting</p>_x000d_
<p>_x000d_
	<b><i>Faculty</i></b><i>: You will have an opportunity to review the video case once you have registered. </i></p>_x000d_
",5.95,Newsday and the Crash of American Airlines Flight 587_wm.pdf,abstract background.jpg,Newsday Teaching Note.pdf,,knightcase_logo.jpg,newsday.jpg,newsday_casecover.jpg,#1f5680,#1c6399,yes,,standard,,17,1,7/7/2009,
34,Terror or Accident?,Terror or Accident? <i>Newsday</i> and the Crash of American Airlines Flight 587 (Video),CSJ-09-0013.0,digital media; crisis reporting,Julia Ioffe,Newsday,,"29, 24",,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/345/video abstract small.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-09-0013.0</i><br />_x000d_
	This text+video case asks students to engage in a difficult calculus: report on deadline about a disaster when the causes are unclear. On November 12, 2001, two months and a day after the terrorist attacks of September 11, American Airlines Flight 587 leaving Kennedy Airport went down in Far Rockaway, Queens, New York.</p>_x000d_
<p>_x000d_
	<strong>This is a video case.</strong></p>_x000d_
<p>_x000d_
	<b>Topics: </b>digital media; crisis reporting</p>_x000d_
",5.95,Newsday Text.pdf,video abstract.jpg,Newsday Teaching Note.pdf,,knightcase_logo.jpg,newsday_video.jpg,,#2d51bd,#2850c7,yes,yes,3columns,,17,1,7/7/2009,
35,Privacy and the Public Interest,Privacy and the Public Interest. Part B: The Case Against Ivins (DEAD),CSJ-08-0015.1PO,ethics; privacy,Kathleen Gilsinan,"Frederick, MD, News-Post",,25,,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/284/text only image.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-08-0015.1PO</i><br />_x000d_
	This two-part case is about how the media balances personal right to privacy against the public right to know. Students are asked to consider what are the obligations of a newspaper to its readers, and to those it writes about.</p>_x000d_
<p>_x000d_
	<b>Topics:</b> ethics; privacy</p>_x000d_
<p>_x000d_
	<i>This case should be used in combination with Part A.<br />_x000d_
	</i></p>_x000d_
",3.95,Ivins Text Part B.pdf,Ivins Part B abstract.jpg,Ivins Teaching Note.pdf,,Website_banner.jpg,text_only.jpg,,#2947a3,#2947a3,yes,yes,standard,,5,2,7/8/2009,
36,But is it News?,But is it News? The <i>New York Times</i> and the International Freedom Center,CSJ-09-0022.0PO,ethics; editorial management; culture writing,David Mizner,New York Times,,"28, 53",,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/355/text only image.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-09-0022.0PO</i></p>_x000d_
<p>_x000d_
	This case study examines how the media is both observer and participant in what are often characterized as &ldquo;the culture wars&rdquo;&mdash;ideological stand-offs in US society between conservative and liberal influence groups. In June 2005, the <i>Wall Street Journal</i> published an op-ed by recognized conservative voice Debra Burlingame, in which she levied charges against a proposed International Freedom Center (IFC) at the World Trade Center memorial site.&nbsp;</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>ethics; editorial management; culture writing</p>_x000d_
<p>_x000d_
	&nbsp;</p>_x000d_
<link href=""file:///C:%5CDOCUME%7E1%5CKGILSI%7E1%5CLOCALS%7E1%5CTemp%5Cmsohtml1%5C01%5Cclip_filelist.xml"" rel=""File-List"" />_x000d_
<style type=""text/css"">_x000d_
<!--{cke_protected}%3C!%2D%2D%7Bcke_protected%7D%253C!%252D%252D%257Bcke_protected%257D%25253C!%25252D%25252D%25257Bcke_protected%25257D%2525253C!%2525252D%2525252D%2525250A%25252520%2525252F*%25252520Font%25252520Definitions%25252520*%2525252F%2525250A%25252520%25252540font-face%2525250A%25252509%2525257B%2525250A%25252509panose-1%2525253A2%252525204%252525205%252525202%252525205%252525205%252525205%252525203%252525203%252525204%2525253B%2525257D%2525250A%25252540font-face%2525250A%25252509%2525257B%25252522Palatino%25252520Linotype%25252522%2525253B%2525250A%25252509panose-1%2525253A2%252525204%252525205%252525202%252525205%252525205%252525205%252525203%252525203%252525204%2525253B%2525257D%2525250A%25252520%2525252F*%25252520Style%25252520Definitions%25252520*%2525252F%2525250A%25252520p.MsoNormal%2525252C%25252520li.MsoNormal%2525252C%25252520div.MsoNormal%2525250A%25252509%2525257Bmso-style-parent%2525253A%25252522%25252522%2525253B%2525250A%25252509margin%2525253A0in%2525253B%2525250A%25252509margin-bottom%2525253A.0001pt%2525253B%2525250A%25252509font-size%2525253A12.0pt%2525253B%25252522Times%25252520New%25252520Roman%25252522%2525253B%2525250A%25252509mso-fareast-%25252522Times%25252520New%25252520Roman%25252522%2525253B%2525257D%2525250Ap.footerp1text%2525252C%25252520li.footerp1text%2525252C%25252520div.footerp1text%2525250A%25252509%2525257Bmso-style-name%2525253A%25252522footer%25252520p1%25252520text%25252522%2525253B%2525250A%25252509margin-top%2525253A6.0pt%2525253B%2525250A%25252509margin-right%2525253A5.0pt%2525253B%2525250A%25252509margin-bottom%2525253A0in%2525253B%2525250A%25252509margin-left%2525253A4.3pt%2525253B%2525250A%25252509margin-bottom%2525253A.0001pt%2525253B%2525250A%25252509text-align%2525253Ajustify%2525253B%2525250A%25252509line-height%2525253A12.0pt%2525253B%2525250A%25252509font-size%2525253A9.0pt%2525253B%25252522Palatino%25252520Linotype%25252522%2525253B%2525250A%25252509mso-fareast-%25252522Times%25252520New%25252520Roman%25252522%2525253B%2525250A%25252509mso-bidi-%25252522Times%25252520New%25252520Roman%25252522%2525253B%2525257D%2525250A%25252540page%25252520Section1%2525250A%25252509%2525257Bsize%2525253A8.5in%2525252011.0in%2525253B%2525250A%25252509margin%2525253A1.0in%252525201.25in%252525201.0in%252525201.25in%2525253B%2525257D%2525250Adiv.Section1%2525250A%25252509%2525257Bpage%2525253ASection1%2525253B%2525257D%2525250A%2525252D%2525252D%2525253E%25252D%25252D%25253E%252D%252D%253E%2D%2D%3E--></style>_x000d_
",3.95,New York Times and the International Freedom Center_wm.pdf,,New York Times and IFC Teaching Note.pdf,New York Times and IFC Epilogue.pdf,Website_banner.jpg,text_only.jpg,,#2947a3,#2947a3,yes,,standard,,17,1,9/30/2009,
37,Matter of Opinion,A Matter of Opinion: The <i>Oregonian</i> Editorial Board and Sam Adams ,CSJ-09-0023.0,editorial writing; politics reporting; ethics,Kathleen Gilsinan,Oregonian,,"28, 25",New,"Take your students behind the scenes to examine the role an editorial board plays at a news organization. Use in course/class on Editorial Writing, Political Reporting, or Editorial Decisionmaking.","<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/366/abstract_small.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-09-0023.0</i><br />_x000d_
	In this case study, students are taken behind the scenes to examine the role an editorial board plays at a news organization. <span>Students will begin to understand how editorial page opinions are formulated, the structures that keep news reporting separate from opinion, and the factors that weigh in on editorial page decisions.</span></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics:</b> editorial writing; politics reporting; ethics</p>_x000d_
",5.95,Oregonian Editorial Board and Sam Adams_wm.pdf,,Oregonian Teaching Note.pdf,Oregonian Epilogue.pdf,knightcase_logo.JPG,oregonian.jpg,Oregonian banner crop.jpg,#276b65,#276b65,yes,,standard,,17,1,10/2/2009,
38,Risky Business,"Risky Business: John Harris, Jim VandeHei, and <i>Politico</i> Part A",CSJ-09-0021.0,media business; editorial decisionmaking; digital media,Kathleen Gilsinan,Politico,,"39, 15",,"Two cases on Business of Media, (A) re journalism entrepreneurship, and (B) re media business models. Use in course/class on Media Business, Digital Media, Editorial Decisionmaking, or Newsroom Management.","<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/361/abstract_a small.jpg"" /></div>_x000d_
<p>_x000d_
	&nbsp;</p>_x000d_
<link href=""file:///C:%5CDOCUME%7E1%5CKGILSI%7E1%5CLOCALS%7E1%5CTemp%5Cmsohtml1%5C01%5Cclip_filelist.xml"" rel=""File-List"" />_x000d_
<p>_x000d_
	<o:smarttagtype name=""PlaceType"" namespaceuri=""urn:schemas-microsoft-com:office:smarttags""></o:smarttagtype><o:smarttagtype name=""PlaceName"" namespaceuri=""urn:schemas-microsoft-com:office:smarttags""></o:smarttagtype><o:smarttagtype name=""City"" namespaceuri=""urn:schemas-microsoft-com:office:smarttags""></o:smarttagtype><o:smarttagtype name=""place"" namespaceuri=""urn:schemas-microsoft-com:office:smarttags""></o:smarttagtype><!--[if gte mso 9]><xml>_x000d_
<w:WordDocument>_x000d_
<w:View>Normal</w:View>_x000d_
<w:Zoom>0</w:Zoom>_x000d_
<w:PunctuationKerning />_x000d_
<w:ValidateAgainstSchemas />_x000d_
<w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid>_x000d_
<w:IgnoreMixedContent>false</w:IgnoreMixedContent>_x000d_
<w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText>_x000d_
<w:Compatibility>_x000d_
<w:BreakWrappedTables />_x000d_
<w:SnapToGridInCell />_x000d_
<w:WrapTextWithPunct />_x000d_
<w:UseAsianBreakRules />_x000d_
<w:DontGrowAutofit />_x000d_
</w:Compatibility>_x000d_
<w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel>_x000d_
</w:WordDocument>_x000d_
</xml><![endif]--><!--[if gte mso 9]><xml>_x000d_
<w:LatentStyles DefLockedState=""false"" LatentStyleCount=""156"">_x000d_
</w:LatentStyles>_x000d_
</xml><![endif]--><!--[if !mso]><object_x000d_
classid=""clsid:38481807-CA0E-42D2-BF39-B33AF135CC4D"" id=ieooui></object>_x000d_
<style>_x000d_
st1\:*{behavior:url(#ieooui) }_x000d_
</style>_x000d_
<![endif]-->_x000d_
	<style type=""text/css"">_x000d_
<!--{cke_protected}%3C!%2D%2D%7Bcke_protected%7D%253C!%252D%252D%250A%2520%252F*%2520Font%2520Definitions%2520*%252F%250A%2520%2540font-face%250A%2509%257Bfont-family%253APalatino%253B%250A%2509panose-1%253A2%25204%25205%25202%25205%25205%25205%25203%25203%25204%253B%250A%2509mso-font-charset%253A0%253B%250A%2509mso-generic-font-family%253Aroman%253B%250A%2509mso-font-pitch%253Avariable%253B%250A%2509mso-font-signature%253A7%25200%25200%25200%2520147%25200%253B%257D%250A%2540font-face%250A%2509%257Bfont-family%253A%2522Palatino%2520Linotype%2522%253B%250A%2509panose-1%253A2%25204%25205%25202%25205%25205%25205%25203%25203%25204%253B%250A%2509mso-font-charset%253A0%253B%250A%2509mso-generic-font-family%253Aroman%253B%250A%2509mso-font-pitch%253Avariable%253B%250A%2509mso-font-signature%253A-536870009%25201073741843%25200%25200%2520415%25200%253B%257D%250A%2520%252F*%2520Style%2520Definitions%2520*%252F%250A%2520p.MsoNormal%252C%2520li.MsoNormal%252C%2520div.MsoNormal%250A%2509%257Bmso-style-parent%253A%2522%2522%253B%250A%2509margin%253A0in%253B%250A%2509margin-bottom%253A.0001pt%253B%250A%2509mso-pagination%253Awidow-orphan%253B%250A%2509font-size%253A12.0pt%253B%250A%2509font-family%253A%2522Times%2520New%2520Roman%2522%253B%250A%2509mso-fareast-font-family%253A%2522Times%2520New%2520Roman%2522%253B%257D%250Ap.footerp1text%252C%2520li.footerp1text%252C%2520div.footerp1text%250A%2509%257Bmso-style-name%253A%2522footer%2520p1%2520text%2522%253B%250A%2509margin-top%253A6.0pt%253B%250A%2509margin-right%253A5.0pt%253B%250A%2509margin-bottom%253A0in%253B%250A%2509margin-left%253A4.3pt%253B%250A%2509margin-bottom%253A.0001pt%253B%250A%2509text-align%253Ajustify%253B%250A%2509line-height%253A12.0pt%253B%250A%2509mso-pagination%253Awidow-orphan%253B%250A%2509tab-stops%253Acenter%25203.0in%253B%250A%2509font-size%253A9.0pt%253B%250A%2509mso-bidi-font-size%253A10.0pt%253B%250A%2509font-family%253A%2522Palatino%2520Linotype%2522%253B%250A%2509mso-fareast-font-family%253A%2522Times%2520New%2520Roman%2522%253B%250A%2509mso-bidi-font-family%253A%2522Times%2520New%2520Roman%2522%253B%257D%250A%2540page%2520Section1%250A%2509%257Bsize%253A8.5in%252011.0in%253B%250A%2509margin%253A1.0in%25201.25in%25201.0in%25201.25in%253B%250A%2509mso-header-margin%253A.5in%253B%250A%2509mso-footer-margin%253A.5in%253B%250A%2509mso-paper-source%253A0%253B%257D%250Adiv.Section1%250A%2509%257Bpage%253ASection1%253B%257D%250A%252D%252D%253E%2D%2D%3E-->	</style>_x000d_
<!--[if gte mso 10]>_x000d_
<style>_x000d_
/* Style Definitions */_x000d_
table.MsoNormalTable_x000d_
{mso-style-name:""Table Normal"";_x000d_
mso-tstyle-rowband-size:0;_x000d_
mso-tstyle-colband-size:0;_x000d_
mso-style-noshow:yes;_x000d_
mso-style-parent:"""";_x000d_
mso-padding-alt:0in 5.4pt 0in 5.4pt;_x000d_
mso-para-margin:0in;_x000d_
mso-para-margin-bottom:.0001pt;_x000d_
mso-pagination:widow-orphan;_x000d_
font-size:10.0pt;_x000d_
font-family:""Times New Roman"";_x000d_
mso-ansi-language:#0400;_x000d_
mso-fareast-language:#0400;_x000d_
mso-bidi-language:#0400;}_x000d_
</style>_x000d_
<![endif]--></p>_x000d_
<link href=""file:///C:%5CDOCUME%7E1%5CKGILSI%7E1%5CLOCALS%7E1%5CTemp%5Cmsohtml1%5C01%5Cclip_filelist.xml"" rel=""File-List"" />_x000d_
<!--[if gte mso 9]><xml>_x000d_
 _x000d_
  Normal_x000d_
  0_x000d_
  _x000d_
  _x000d_
  false_x000d_
  false_x000d_
  false_x000d_
  _x000d_
   _x000d_
   _x000d_
   _x000d_
   _x000d_
   _x000d_
  _x000d_
  MicrosoftInternetExplorer4_x000d_
 _x000d_
</xml><![endif]--><!--[if gte mso 9]><![endif]--><!--[if !mso]>_x000d_
<style>_x000d_
st1\:*{behavior:url(#ieooui) }_x000d_
</style>_x000d_
<![endif]--><style type=""text/css"">_x000d_
<!--{cke_protected}%3C!%2D%2D%7Bcke_protected%7D%253C!%252D%252D%250A%2520%252F*%2520Font%2520Definitions%2520*%252F%250A%2520%2540font-face%250A%2509%257B%250A%2509panose-1%253A2%25204%25205%25202%25205%25205%25205%25203%25203%25204%253B%257D%250A%2540font-face%250A%2509%257B%2522Palatino%2520Linotype%2522%253B%250A%2509panose-1%253A2%25204%25205%25202%25205%25205%25205%25203%25203%25204%253B%257D%250A%2520%252F*%2520Style%2520Definitions%2520*%252F%250A%2520p.MsoNormal%252C%2520li.MsoNormal%252C%2520div.MsoNormal%250A%2509%257Bmso-style-parent%253A%2522%2522%253B%250A%2509margin%253A0in%253B%250A%2509margin-bottom%253A.0001pt%253B%250A%2509font-size%253A12.0pt%253B%2522Times%2520New%2520Roman%2522%253B%250A%2509mso-fareast-%2522Times%2520New%2520Roman%2522%253B%257D%250Ap.footerp1text%252C%2520li.footerp1text%252C%2520div.footerp1text%250A%2509%257Bmso-style-name%253A%2522footer%2520p1%2520text%2522%253B%250A%2509margin-top%253A6.0pt%253B%250A%2509margin-right%253A5.0pt%253B%250A%2509margin-bottom%253A0in%253B%250A%2509margin-left%253A4.3pt%253B%250A%2509margin-bottom%253A.0001pt%253B%250A%2509text-align%253Ajustify%253B%250A%2509line-height%253A12.0pt%253B%250A%2509font-size%253A9.0pt%253B%2522Palatino%2520Linotype%2522%253B%250A%2509mso-fareast-%2522Times%2520New%2520Roman%2522%253B%250A%2509mso-bidi-%2522Times%2520New%2520Roman%2522%253B%257D%250A%2540page%2520Section1%250A%2509%257Bsize%253A8.5in%252011.0in%253B%250A%2509margin%253A1.0in%25201.25in%25201.0in%25201.25in%253B%257D%250Adiv.Section1%250A%2509%257Bpage%253ASection1%253B%257D%250A%252D%252D%253E%2D%2D%3E--></style>_x000d_
<!--[if gte mso 10]>_x000d_
<style>_x000d_
 /* Style Definitions */_x000d_
 table.MsoNormalTable_x000d_
	{mso-style-name:""Table Normal"";_x000d_
	mso-style-parent:"""";_x000d_
	font-size:10.0pt;""Times New Roman"";}_x000d_
</style>_x000d_
<![endif]--><p>_x000d_
	<i>CSJ-09-0021.0 </i><br />_x000d_
	<span>These two stand-alone cases examine separate aspects of the hybrid print/online political news outlet <i>Politico</i>. In Part A, students are taken behind the scenes and into the minds of two journalism entrepreneurs. </span><span>Students can debate the pros and cons of leaving mainstream journalism outlets to start new operations.</span></p>_x000d_
<p>_x000d_
	Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>media business; editorial decisionmaking; digital media</p>_x000d_
",3.00,"John Harris, Jim VandeHei and Politico Part A_wm.pdf",,Politico Part A Teaching Note.pdf,,knightcase_logo_A.JPG,politico_a.jpg,,#c73104,#c73104,yes,,standard,,17,1,10/6/2009,
39,Risky Business,"Risky Business: John Harris, Jim VandeHei, and <i>Politico</i> Part B: A Winning Model?",CSJ-09-0021.1,media business; newsroom management; digital media,Kathleen Gilsinan,Politico,,"38, 15",,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/362/abstract_b small.jpg"" /></div>_x000d_
<p>_x000d_
	&nbsp;</p>_x000d_
<link href=""file:///C:%5CDOCUME%7E1%5CKGILSI%7E1%5CLOCALS%7E1%5CTemp%5Cmsohtml1%5C01%5Cclip_filelist.xml"" rel=""File-List"" />_x000d_
<!--[if gte mso 9]><xml>_x000d_
 _x000d_
  Normal_x000d_
  0_x000d_
  _x000d_
  _x000d_
  false_x000d_
  false_x000d_
  false_x000d_
  _x000d_
   _x000d_
   _x000d_
   _x000d_
   _x000d_
   _x000d_
  _x000d_
  MicrosoftInternetExplorer4_x000d_
 _x000d_
</xml><![endif]--><!--[if gte mso 9]><![endif]--><!--[if !mso]>_x000d_
<style>_x000d_
st1\:*{behavior:url(#ieooui) }_x000d_
</style>_x000d_
<![endif]--><style type=""text/css"">_x000d_
<!--{cke_protected}%3C!%2D%2D%0A%20%2F*%20Font%20Definitions%20*%2F%0A%20%40font-face%0A%09%7B%0A%09panose-1%3A2%204%205%202%205%205%205%203%203%204%3B%7D%0A%40font-face%0A%09%7B%22Palatino%20Linotype%22%3B%0A%09panose-1%3A2%204%205%202%205%205%205%203%203%204%3B%7D%0A%20%2F*%20Style%20Definitions%20*%2F%0A%20p.MsoNormal%2C%20li.MsoNormal%2C%20div.MsoNormal%0A%09%7Bmso-style-parent%3A%22%22%3B%0A%09margin%3A0in%3B%0A%09margin-bottom%3A.0001pt%3B%0A%09font-size%3A12.0pt%3B%22Times%20New%20Roman%22%3B%0A%09mso-fareast-%22Times%20New%20Roman%22%3B%7D%0Ap.footerp1text%2C%20li.footerp1text%2C%20div.footerp1text%0A%09%7Bmso-style-name%3A%22footer%20p1%20text%22%3B%0A%09margin-top%3A6.0pt%3B%0A%09margin-right%3A5.0pt%3B%0A%09margin-bottom%3A0in%3B%0A%09margin-left%3A4.3pt%3B%0A%09margin-bottom%3A.0001pt%3B%0A%09text-align%3Ajustify%3B%0A%09line-height%3A12.0pt%3B%0A%09font-size%3A9.0pt%3B%22Palatino%20Linotype%22%3B%0A%09mso-fareast-%22Times%20New%20Roman%22%3B%0A%09mso-bidi-%22Times%20New%20Roman%22%3B%7D%0A%40page%20Section1%0A%09%7Bsize%3A8.5in%2011.0in%3B%0A%09margin%3A1.0in%201.25in%201.0in%201.25in%3B%7D%0Adiv.Section1%0A%09%7Bpage%3ASection1%3B%7D%0A%2D%2D%3E--></style>_x000d_
<!--[if gte mso 10]>_x000d_
<style>_x000d_
 /* Style Definitions */_x000d_
 table.MsoNormalTable_x000d_
	{mso-style-name:""Table Normal"";_x000d_
	mso-style-parent:"""";_x000d_
	font-size:10.0pt;""Times New Roman"";}_x000d_
</style>_x000d_
<![endif]--><p>_x000d_
	<i>CSJ-09-0021.1</i><br />_x000d_
	<span>These two stand-alone cases examine separate aspects of the hybrid print/online political news outlet <i>Politico</i>. In Part B, students take an in-depth look at the business model <i>Politico</i> adopted. They will be asked to imagine themselves in the shoes of journalism entrepreneurs deciding what formula will ensure sufficient revenue to continue operations.</span></p>_x000d_
<p>_x000d_
	Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>media business; newsroom management; digital media</p>_x000d_
",3.00,"John Harris, Jim VandeHei and Politico Part B_wm.pdf",,Politico Part B Teaching Note.pdf,,knightcase_logo_B.JPG,politico_b.jpg,,#c73104,#c73104,yes,,standard,,17,1,10/6/2009,
40,Elusive Story,Elusive Story: The <i>Chicago Tribune</i> Examines &quot;No Child Left Behind&quot;,CSJ-09-0019.0PO,feature writing; ethics; education reporting,Julia Ioffe,Chicago Tribune,,"30, 2",,,"<p>_x000d_
	<img align=""right"" alt="""" src=""/casestudy/files/photos/360/text only image.jpg"" /> <i>CSJ-09-0019.0PO</i><br />_x000d_
	<span>This case study examines long-form journalism, and the dilemma for a reporter when the story she intends to write is not the story she uncovers. It also examines the responsibility of a reporter to a source unfamiliar with journalistic conventions.</span></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>ethics; education reporting; feature writing</p>_x000d_
",3.95,Chicago Tribune Examines No Child Left Behind_wm.pdf,,Chicago Tribune Teaching Note.pdf,Chicago Tribune Epilogue.pdf,Website_banner.jpg,text_only.jpg,,#2947a3,#2947a3,yes,,standard,,17,1,10/9/2009,
43,When the story is us,"When the story is us: <i>Miami Herald</i>, <i>Nuevo Herald</i> and Radio Mart&iacute;",CSJ-10-0026.0,strategic management; media business; gender & race,Kirsten Lundberg,Miami Herald; El Nuevo Herald,,"1, 22",,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/389/herald_abstract_small.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-10-0026.0</i><br />_x000d_
	This case is about the management challenges which erupted after the <i>Miami Herald</i> published a story naming three reporters at its sister publication, <i>El Nuevo Herald</i>, as among a group of journalists accepting money from the US government. Students will gain understanding of the relationship between newspaper owners, their publishers, and their editors.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics:</b> strategic management; media business; gender &amp; race</p>_x000d_
",5.95,Miami Herald Nuevo Herald and Radio Marti_wm.pdf,,TN Heralds.pdf,Heralds epilogue.pdf,knightcase_logo.jpg,herald.jpg,,#bd3c00,#bd3c00,yes,,standard,,17,1,1/26/2010,
49,Reporters or cops?,Reporters or cops? CONTACTO and the search for Paul Schaefer,CSJ-10-0027.0,international; investigative reporting; broadcast; ethics,Julia Ioffe; Ruth Palmer,CONTACTO,,"50, 23",,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/394/contacto_abstract_small.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-10-0027.0</i><br />_x000d_
	This video-intensive case is about a Chilean TV news program&#39;s year-long effort to locate the nation&#39;s most-wanted criminal, and whether its investigation is properly journalistic or verges on police matters. Students will explore the fine line between legitimate and illegitimate use of undercover reporting techniques, including hidden cameras. They will also have a chance to weigh the costs of an investigative reporting project against its likely returns.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<b>Topics: </b>international; investigative reporting; ethics</p>_x000d_
",5.95,CONTACTO ENGLISH_wm.pdf,,CONTACTO Teaching Note.pdf,CONTACTO Epilogue.pdf,knightcase_logo_contacto.JPG,contacto.jpg,,#e8123d,#e8123d,yes,,standard2,,17,1,2/5/2010,
50,P¿Periodistas o policías?,&iquest;Periodistas o polic&iacute;as? CONTACTO y la b&uacute;squeda de Paul Schaefer,CSJ-10-0028.0,international; investigative reporting; broadcast; ethics,Julia Ioffe; Ruth Palmer,CONTACTO,,"49, 23",,,"<div style=""padding: 10px; float: right;"">_x000d_
	<img alt="""" src=""/casestudy/files/photos/393/contacto_espanol_abstract_small.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-10-0028.0</i><br />_x000d_
	Este caso, dicho en su mayor&iacute;a a trav&eacute;s de entrevistas en video con el equipo de noticias, acerca del esfuerzo de una organizaci&oacute;n de noticias para localizar a un criminal, y si su trabajo es period&iacute;sticamente apropiado o se acerca mas a asuntos de polic&iacute;a. Los estudiantes exploran la delgada l&iacute;nea entre uso leg&iacute;timo e ileg&iacute;timo de las t&eacute;cnicas secretas de reportajes, incluyendo c&aacute;maras ocultas. Tambi&eacute;n tendr&aacute;n la oportunidad de evaluar los costos de un proyecto de periodismo de investigaci&oacute;n en contra de su posible rentabilidad.</p>_x000d_
<p>_x000d_
	Ep&iacute;logo, Teaching Note</p>_x000d_
<p>_x000d_
	<b><span class=""short_text"" id=""result_box""><span title=""Topics: international; investigative reporting; ethics"">Temas:</span></span></b><span class=""short_text"" id=""result_box""><span title=""Topics: international; investigative reporting; ethics""> internacional; el periodismo de investigaci&oacute;n; la &eacute;tica</span></span></p>_x000d_
",5.95,CONTACTO y la bussqueda de Paul Schaefer_wm.pdf,,CONTACTO Espanol Teaching Note.pdf,CONTACTO Espanol Epilogue.pdf,knightcase_logo_contacto_espanol.JPG,contacto_espanol.jpg,,#e8123d,#e8123d,yes,,standard2,,5,1,3/2/2010,
51,Not for Profit?,Not for Profit? The <i>Voice of San Diego</i> Experiment,CSJ-10-0025.0,media business; newsroom management,Kathleen Gilsinan,Voice of San Diego,," 38, 53",,,"<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""/casestudy/files/photos/417/abstract.jpg"" /></div>_x000d_
<p>_x000d_
	<em>CSJ-10-0025.0</em><br />_x000d_
	<span>This case takes a close look at an effort to launch a news outlet, <em>Voice of San Diego</em>, based on a model much lauded in theory, but little tested in practice&mdash;a nonprofit, online news organization. </span><span>Students will learn about the pros and cons of nonprofit news. </span><span>They will also get an in-person glimpse into the complexities of being a journalism entrepreneur.</span></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics: </strong>media business; newsroom management</p>_x000d_
",5.95,Voice of San Diego Experiment_wm.pdf,,Voice of San Diego Teaching Note.pdf,Voice of San Diego Epilogue.pdf,knightcase_banner_voiceofsandiego.jpg,vosd.jpg,,#c21818,#c21818,yes,,standard,,17,1,3/30/2010,
